male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
0,0,1,0,0,0,0.0,1.0,1,1,0,0,1.59409442352,0.0,0,1,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,2.80785569976,0.0,0,1,1
0,1,0,0,0,0,0.0,0.0,0,0,1,0,5.96156828097,2.8,0,0,0
0,0,1,0,0,0,1.0,0.0,0,0,0,1,8.79134649774,1.0,0,1,0
0,0,1,0,0,0,0.0,1.0,0,1,0,0,5.08061049195,20.3,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,0.912623878528,0.2,0,0,0
0,1,0,0,0,0,0.0,1.0,0,0,0,1,7.34192503794,5.4,0,1,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,0.912623878528,0.2,0,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,3.00920743897,21.0,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,4.19268340617,3.1,1,0,1
0,0,0,0,0,0,0.0,0.0,0,1,0,0,2.09022190259,3.6,0,0,0
1,1,0,0,0,0,0.0,0.0,0,0,0,1,7.36217817152,4.9,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,5.59795263816,3.2,0,1,1
0,1,0,0,0,0,1.0,0.0,1,1,0,0,7.84862525478,4.9,0,1,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,15.2260017144,1.3,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,14.6773700831,0.0,1,0,1
1,1,0,0,0,0,1.0,0.0,0,1,0,0,9.30617167755,3.8,0,0,0
1,0,0,0,0,0,0.0,0.0,0,1,0,0,2.94808433601,0.0,0,1,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,2.94808433601,0.0,0,1,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.90705057892,0.0,0,1,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,15.2260017144,1.3,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,14.6773700831,0.0,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,14.6773700831,0.0,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.00920743897,21.0,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,6.90006830956,2.0,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,6.36782842395,2.3,1,0,1
0,1,0,0,0,0,0.0,0.0,0,0,0,1,7.34192503794,5.4,0,1,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,1.74768869467,1.5,0,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,0.912623878528,0.2,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,7.36217817152,4.9,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,2.94808433601,0.0,0,1,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,5.59795263816,3.2,0,1,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,6.36782842395,2.3,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,2.09022190259,3.6,0,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,0.912623878528,0.2,0,0,0
1,0,0,1,0,0,1.0,1.0,1,1,0,0,2.09022190259,3.6,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,18.0436763177,0.0,1,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,14.6773700831,0.0,1,0,1
0,0,0,1,0,0,1.0,0.0,0,1,0,0,3.03412296034,14.6,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,0.912623878528,0.2,0,0,1
0,0,1,0,0,0,0.0,0.0,0,0,0,1,4.98490422396,1.1,0,1,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,6.36782842395,2.3,1,0,0
1,1,0,0,0,0,1.0,0.0,0,1,0,0,14.6773700831,0.0,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,13.4423293954,1.2,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,4.19268340617,3.1,1,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,8.79134649774,1.0,0,1,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,7.36217817152,4.9,0,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,7.36217817152,4.9,0,0,0
0,0,0,1,0,0,0.0,1.0,1,1,0,0,5.60284334183,5.9,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,5.60284334183,5.9,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,5.59795263816,3.2,0,1,1
1,0,0,0,1,0,1.0,1.0,1,1,0,0,3.03412296034,14.6,0,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,15.8039730413,141.8,0,0,0
1,1,0,0,0,0,1.0,0.0,0,0,1,0,4.19268340617,3.1,1,0,1
0,1,0,0,0,0,1.0,0.0,0,1,0,0,6.16393371489,0.0,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,9.30617167755,3.8,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,0.912623878528,0.2,0,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,7.84862525478,4.9,0,1,0
1,1,0,0,0,0,0.0,1.0,0,0,0,1,1.74768869467,1.5,0,0,0
1,0,0,0,0,0,0.0,1.0,1,1,0,0,3.68808193045,0.0,0,1,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,14.6773700831,0.0,1,0,0
1,0,1,0,0,0,1.0,1.0,0,1,0,0,5.08061049195,20.3,0,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,1.74768869467,1.5,0,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,4.39563139626,0.0,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,13.1293674202,4.2,0,1,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,13.4423293954,1.2,0,0,0
1,0,0,0,0,0,0.0,1.0,0,0,0,0,9.57879996016,1.2,1,0,1
1,0,1,0,0,0,0.0,0.0,0,0,0,1,9.30617167755,3.8,0,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.03412296034,14.6,0,0,1
0,0,1,0,0,0,1.0,0.0,0,0,1,0,4.19268340617,3.1,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,6.02854652214,0.9,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.00920743897,21.0,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,6.02854652214,0.9,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,15.2260017144,1.3,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.74768869467,1.5,0,0,1
1,0,1,0,0,0,1.0,0.0,0,1,0,0,10.7796610014,6.9,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,8.90677460423,-5.4,0,1,1
1,0,0,0,0,0,1.0,1.0,0,1,0,0,7.36217817152,4.9,0,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,9.30617167755,3.8,0,0,1
0,0,1,0,0,0,1.0,0.0,0,1,0,0,2.09022190259,3.6,0,0,1
0,0,1,0,0,0,0.0,0.0,1,1,0,0,7.088073778,0.4,0,1,1
0,0,1,0,0,0,0.0,0.0,0,1,0,0,6.36782842395,2.3,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,5.08061049195,20.3,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,14.6773700831,0.0,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,14.6773700831,0.0,1,0,1
1,1,0,0,0,0,0.0,1.0,1,0,0,1,6.02854652214,0.9,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,7.34192503794,5.4,0,1,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.00920743897,21.0,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,14.6773700831,0.0,1,0,1
0,1,0,0,0,0,1.0,0.0,1,1,0,0,6.16393371489,0.0,0,0,1
