age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
50.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,14.6773700831,0.0,1,0,1.0,0,1,1,1,0,3,3,0,1,1,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
64.0,1,0,1,0,0,0,3.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,13.1293674202,4.2,0,1,1.0,0,1,1,1,0,2,3,0,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
32.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,1.80869149098,0.0,0,1,0.0,0,0,1,1,0,0,2,0,1,0,1,0.0,2.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
40.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,10.6333456201,40.8,0,0,0.0,0,0,0,0,0,1,2,1,2,2,3,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0
39.0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,1,1,0,0,0,0,18.416482176,113.1,0,0,0.0,0,0,1,0,1,0,0,3,3,0,1,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0
40.0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,4.39563139626,0.0,0,0,1.0,0,1,1,1,0,1,3,0,2,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,4.19268340617,3.1,1,0,1.0,0,1,1,1,0,3,3,2,3,2,2,2.0,2.0,1.0,1.0,1.0,2.0,2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1
49.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,4.19268340617,3.1,1,0,0.0,0,0,1,1,0,0,3,0,2,0,0,2.0,2.0,1.0,0.0,0.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0,1,0,0,0,0,6.0,1.0,0.0,1.0,0,1,0,1,0,0,0,1,5.60284334183,5.9,1,0,1.0,0,1,1,1,0,1,3,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
60.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,10.6333456201,40.8,0,0,1.0,1,0,1,1,0,3,3,0,2,2,1,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
57.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,6.02854652214,0.9,0,0,1.0,1,0,1,1,0,3,3,1,1,1,1,2.0,2.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
47.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,0.912623878528,0.2,0,0,0.0,0,0,1,1,0,3,3,0,3,1,3,2.0,1.0,1.0,1.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
60.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,0.912623878528,0.2,0,0,0.0,0,0,0,0,0,2,2,2,2,2,0,2.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,5.60284334183,5.9,1,0,1.0,0,0,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
56.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,1.23806778218,0.0,1,0,0.0,0,0,1,1,0,1,3,0,1,1,0,2.0,1.0,1.0,0.0,1.0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
46.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,1.55418524956,0.0,0,1,0.0,0,0,1,1,0,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
45.0,0,1,0,0,0,0,4.0,0.0,1.0,1.0,0,1,1,1,0,0,0,1,6.02854652214,0.9,0,0,1.0,0,1,1,1,0,3,3,1,1,2,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1
61.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,6.36782842395,2.3,1,0,0.0,0,0,1,1,0,0,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
36.0,1,1,0,0,0,0,6.0,1.0,0.0,1.0,1,1,1,0,0,1,0,0,7.34192503794,5.4,0,1,0.0,0,0,1,0,1,3,3,0,2,2,1,2.0,2.0,1.0,0.0,1.0,1.0,2,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
44.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,0,1,0,0,0,1.23806778218,0.0,1,0,1.0,0,1,1,1,0,3,3,0,3,1,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
40.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,0,1,0,0,0,1,15.2260017144,1.3,1,0,1.0,0,1,1,1,0,2,2,3,3,2,2,2.0,1.0,1.0,0.0,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
81.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,8.90677460423,-5.4,0,1,1.0,1,0,1,1,0,3,3,3,3,2,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,1,1,0,0,1,0,0.912623878528,0.2,0,0,1.0,1,0,1,1,0,0,3,0,3,2,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
80.0,0,1,0,0,0,0,2.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,3.00920743897,21.0,0,0,1.0,0,1,1,1,0,3,3,2,3,3,0,2.0,2.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,1,0,0,1,0,0,5.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,7.36217817152,4.9,0,0,1.0,1,0,0,0,0,1,3,3,2,3,0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
59.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.23806778218,0.0,1,0,1.0,1,0,1,1,0,1,3,0,2,3,0,2.0,2.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
48.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,0.912623878528,0.2,0,0,0.0,0,0,0,0,0,2,3,0,2,3,1,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
21.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,0,1,0,0,0,13.3045470867,1.3,1,0,0.0,0,0,1,1,0,2,0,0,3,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
39.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,15.2260017144,1.3,1,0,1.0,0,1,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
24.0,0,1,0,0,0,0,5.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,18.0436763177,0.0,1,0,1.0,0,1,1,1,0,0,1,0,2,1,0,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
49.0,0,0,1,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,1.59409442352,0.0,0,1,1.0,1,0,1,1,0,0,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1
68.0,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,5.08061049195,20.3,0,0,1.0,1,0,0,0,0,0,3,0,0,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
56.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,7.34192503794,5.4,0,1,0.0,0,0,1,0,1,1,3,2,1,1,0,2.0,2.0,1.0,0.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,0.912623878528,0.2,0,0,0.0,0,0,1,1,0,3,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
46.0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,1,1,1,1,0,0,0,0,3.00920743897,21.0,0,0,0.0,0,0,1,1,0,3,3,2,3,3,3,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1
