age,gender,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,num_child,num_elder,income,edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick,hm_cement,heard_order,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
74.0,0,1,0,0,0,0,2.0,1.0,0.0,3.0,5,1,0,1,0,0,1,0,0,1.0,1,0,0,3,0,3,1.0,0.0,0.0,1.0,0.0,2.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
54.0,1,1,0,0,0,0,3.0,0.0,0.0,3.0,3,1,0,1,0,0,0,1,0,0.0,3,0,0,2,3,0,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
43.0,1,1,0,0,0,0,2.0,0.0,0.0,4.0,2,1,1,1,0,0,0,1,0,0.0,3,1,0,2,1,0,1.0,2.0,1.0,0.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
58.0,0,1,0,0,0,0,2.0,0.0,1.0,5.0,5,1,1,1,0,0,0,0,1,0.0,1,3,2,3,1,3,2.0,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55.0,0,1,0,0,0,0,2.0,0.0,0.0,4.0,2,1,1,1,0,0,0,0,1,0.0,2,3,0,0,0,0,0.0,2.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
77.0,0,1,0,0,0,0,2.0,0.0,0.0,5.0,4,1,0,1,0,0,0,1,0,0.0,1,3,0,1,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0
73.0,0,1,0,0,0,0,2.0,0.0,0.0,3.0,2,1,1,1,0,0,0,1,0,0.0,0,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
47.0,1,0,1,0,0,0,4.0,2.0,0.0,1.0,3,1,1,1,0,0,0,0,1,0.0,3,3,0,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
70.0,0,1,0,0,0,0,2.0,0.0,0.0,2.0,2,1,1,1,0,0,0,1,0,0.0,2,0,0,0,3,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
54.0,1,1,0,0,0,0,3.0,0.0,1.0,5.0,5,1,0,1,0,0,0,1,0,0.0,1,1,1,3,1,3,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
47.0,1,1,0,0,0,0,1.0,0.0,0.0,3.0,5,1,1,1,0,0,1,0,0,0.0,3,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
54.0,1,1,0,0,0,0,2.0,0.0,0.0,3.0,2,1,0,1,0,0,0,0,1,0.0,2,3,0,0,0,0,2.0,1.0,1.0,0.0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
57.0,1,1,0,0,0,0,6.0,2.0,0.0,5.0,5,1,1,1,0,0,0,1,0,0.0,0,3,1,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0
