age,gender,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income,edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,county,evac
23.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,0,1,0,0,0,1,2.54452685595,9.5,0.0,0,0,1,0,1,3,2,0,3,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0
45.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,0,0,1,1,0,0,0,1,2.56803515393,49.7,0.0,0,0,1,0,1,1,3,3,3,3,1,2.0,2.0,1.0,1.0,1.0,1.0,0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2,0
31.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,0,0,0,1,0,0,1,0,3.41658813867,53.2,1.0,1,0,0,0,0,1,1,1,3,1,3,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
21.0,0,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,23.8593795428,232.3,0.0,0,0,1,0,1,3,3,1,3,1,0,2.0,2.0,1.0,0.0,1.0,1.0,1,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,8,0
36.0,1,0,0,0,1,0,4.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,35.6183845476,91.3,0.0,0,0,1,0,1,3,3,0,2,2,1,1.0,1.0,1.0,1.0,1.0,2.0,0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,5,0
63.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,1.08910160159,0.0,1.0,1,0,1,1,0,0,3,0,3,3,1,1.0,2.0,1.0,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0
67.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,12.7586727085,21.8,0.0,0,0,1,0,1,0,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4,0
48.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,4.88240194821,0.0,0.0,0,0,0,0,0,2,3,0,3,2,3,2.0,2.0,1.0,1.0,1.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0
61.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,2.34033202078,64.3,0.0,0,0,1,1,0,0,2,3,1,3,2,2.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,0
74.0,1,1,0,0,0,0,2.0,1.0,0.0,0.0,1,1,0,1,0,0,1,0,1.55214734955,0.0,1.0,0,1,1,1,0,1,0,0,3,0,3,1.0,0.0,0.0,1.0,0.0,2.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0
31.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,1,1,1,1,0,0,1,0,0.923735829039,18.9,1.0,1,0,1,1,0,3,1,0,3,3,3,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8,1
