age,gender,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income,edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,county,evac
54.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,6.41765787353,96.8,0.0,0,0,1,0,1,0,3,0,3,3,1,2.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7,0
58.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,30.9561247065,91.9,0.0,0,0,1,0,1,3,3,0,3,0,3,2.0,1.0,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0
48.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,0.52534680485,11.5,0.0,0,0,1,0,1,2,3,0,0,0,2,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0
60.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,0.473529451921,0.0,0.0,0,0,1,0,1,1,2,2,2,0,3,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6,1
41.0,0,1,0,0,0,0,5.0,1.0,1.0,0.0,0,1,1,0,1,0,0,0,23.8593795428,232.3,0.0,0,0,0,0,0,0,1,0,1,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,8,1
66.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,4.19583371076,12.6,0.0,0,0,1,1,0,1,0,0,2,3,2,2.0,1.0,0.0,0.0,1.0,2.0,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3,1
45.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0.0,0,0,1,0,1,3,3,2,2,1,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0
47.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,0,1,1,1,0,0,1,0,12.7586727085,21.8,0.0,0,0,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,4,0
50.0,1,0,0,1,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,0.52534680485,11.5,1.0,1,0,1,1,0,3,2,0,3,2,0,2.0,1.0,1.0,0.0,1.0,2.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6,1
68.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,0.728852638111,36.3,0.0,0,0,1,1,0,3,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,6,0
51.0,1,1,0,0,0,0,2.0,1.0,0.0,1.0,0,1,0,1,0,0,0,1,0.52534680485,11.5,1.0,1,0,1,1,0,3,3,1,1,1,1,2.0,2.0,1.0,1.0,1.0,1.0,2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6,0
64.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,41.236272523,140.3,0.0,0,0,0,0,0,0,1,0,2,0,0,2.0,2.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5,0
36.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,1,0,0,1,0,32.0277527397,84.2,0.0,0,0,1,1,0,1,3,0,0,0,1,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0
64.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,35.6183845476,91.3,1.0,1,0,1,0,1,3,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0
72.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,16.8502595827,109.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0
80.0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,47.1032868598,126.8,0.0,0,0,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5,0
66.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0.904074593135,11.2,0.0,0,0,1,1,0,2,0,0,3,3,3,2.0,2.0,1.0,1.0,1.0,2.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
65.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,24.3022342819,290.3,0.0,0,0,1,0,1,0,3,3,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0
69.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,3.41658813867,53.2,0.0,0,0,0,0,0,0,3,0,3,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0
58.0,1,1,0,0,0,0,4.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,2.34033202078,64.3,0.0,0,0,1,0,1,3,0,1,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2,0
