male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
1,1,0,0,0,0,0.0,1.0,0,1,0,0,4.64277135982,9.0,0,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,20.4586112749,257.5,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,10.4523917528,178.2,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,1,17.9799284908,260.5,0,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,10.5951793574,153.0,0,0,1
0,0,0,0,0,1,0.0,1.0,1,1,0,0,4.01276419239,91.3,0,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,1.06021991934,6.6,1,0,1
0,1,0,0,0,0,0.0,0.0,1,1,0,0,4.01276419239,91.3,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.38892133377,11.9,1,0,1
0,1,0,0,0,0,0.0,0.0,1,0,1,0,14.6335510212,248.5,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,5.03456790986,86.1,0,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,12.2049077107,188.3,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,4.64277135982,9.0,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,17.9799284908,260.5,0,0,0
0,0,0,0,0,0,0.0,1.0,1,1,0,0,3.3267096343,20.5,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,14.7089938853,151.3,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,4.01276419239,91.3,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,12.2049077107,188.3,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,0.821239687314,63.5,0,0,0
0,1,0,0,0,0,0.0,0.0,1,1,0,0,4.64277135982,9.0,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,5.57938804405,65.6,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.3267096343,20.5,0,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,5.03456790986,86.1,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.3267096343,20.5,0,0,1
0,0,1,0,0,0,1.0,0.0,1,1,0,0,10.5951793574,153.0,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,5.57938804405,65.6,0,0,1
