[('heard_order', 0.35460305814210741, 5.7504809348022655e-69),
 ('od_mandatory', 0.32213582334691615, 1.4458922931002697e-56),
 ('sf_cat3_wind_water', -0.29598430944268256, 1.2509214837331505e-47),
 ('ez_in_zone', 0.29328740287051752, 9.2830091410592078e-47),
 ('concern_fld_surge', 0.28060348766503723, 8.6403237079822354e-43),
 ('sf_cat4_water', -0.27481457500113515, 4.7888186128096056e-41),
 ('sf_cat3_water', -0.2467409855181498, 3.5539919306385824e-33),
 ('sf_cat2_wind_water', -0.21368603756212393, 4.1379203884932725e-25),
 ('ez_not_in_zone', -0.21267895544377313, 6.9626376993087579e-25),
 ('sf_cat4_wind_water', -0.21265565690912727, 7.0467431508116016e-25),
 ('concern_fld_rainfall', 0.21113642657216214, 1.5370715364311064e-24),
 ('concern_wind', 0.18538191679057001, 3.4340953244736722e-19),
 ('elevation', -0.16811785665240336, 5.1774153304741773e-16),
 ('sf_cat2_water', -0.14622161637072156, 1.9367585188397532e-12),
 ('know_evac_zone', 0.14087389927098215, 1.2111013507469427e-11),
 ('coast_dist', -0.12217976605381575, 4.3060643446703054e-09),
 ('ht_mobile', 0.11533726677433201, 3.0099857176825098e-08),
 ('od_voluntary', 0.10982552688276277, 1.3318085291475927e-07),
 ('importance_local_media', 0.10052831254592313, 1.3963162091259639e-06),
 ('importance_nhc', 0.098085588662859879, 2.5052858491194208e-06),
 ('issued_voluntary', 0.089123501365981045, 1.9049563388509822e-05),
 ('ht_single_fam', -0.081068076415943047, 0.00010109663836874443),
 ('male', -0.07491065646669634, 0.00032843459699147764),
 ('pets', -0.065274731847564577, 0.0017558448157003464),
 ('age', -0.065145540620715411, 0.0017932851550301618),
 ('have_child', 0.063150347810731491, 0.0024726899961388955),
 ('hm_brick_cement', -0.060199121224552114, 0.0039147077896570064),
 ('issued_mandatory', 0.057968723990524766, 0.0054714486769245159),
 ('college_edu', 0.052962692984483195, 0.01116033775786612),
 ('owner', -0.047769745054246492, 0.0221069830745745),
 ('src_cable_other', -0.03903411591322755, 0.061529893756454151),
 ('concern_tornado', 0.03491632825598711, 0.094464045117151105),
 ('src_cable_weather_channel', 0.032537977767111766, 0.1191543540685305),
 ('househd_size', 0.027848004840175449, 0.18232752525277468),
 ('r_hispanic', 0.024526255967071444, 0.24019671460873046),
 ('seek_local_weather_office', -0.022366888980090913, 0.28414157698988446),
 ('r_native', 0.020589490560084574, 0.32416720349090977),
 ('ht_condo', 0.019009927233755653, 0.36267555469272039),
 ('income_above_4k', 0.018906900607752991, 0.36528294144207785),
 ('r_asian', -0.016058249603266097, 0.44194109187544106),
 ('r_white', -0.015257460065020868, 0.46504146872447549),
 ('src_cable_cnn', -0.013409443347013623, 0.5208252630628244),
 ('r_black', 0.012806635286234184, 0.53973908091841416),
 ('src_local_tv', 0.010995233837605355, 0.59856283102735597),
 ('trust_local_media', 0.0081325522503637136, 0.69698506424871698),
 ('hm_wood', -0.003265164611819252, 0.87576763655997969),
 ('src_internet', 0.0029925469752531929, 0.88606617062238713),
 ('have_elder', 0.002784316972438809, 0.89394543607263399),
 ('src_local_radio', -0.0026942905315957308, 0.89735525612028189),
 ('see_track_map', -0.00085320462425190916, 0.96741428634368731)]
