q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
43,2,1,2,3,2,2,2,2,1,2,3,4,1,3,3,3,4,2,3,2,4,2,1,1,2,2,1,2,1, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3886.699,18401.529,40419.969, 
51,2,3,3,1,0,3,4,2,1,4,5, ,1,5,5,5,5,5,4,5,5,4,1,3,5,3,5,5,1, , , ,2
45,2,3, , , ,3, ,2,1,4,5,5,1,3,5,5,3,1,1,1,3,4,1,1,4,1,1,1,1, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,768.406,20310.076,41123.441, 
48,2,3,1,3,0,2,3,2,2,1,5,1,1,4,3,3,5,2,2,3,2,2,1,1,3,2,5,5,1,1295.4,24384.635,47063.73,1
77,1,3,1,2, ,1, ,2,1, ,4, , ,3, , , , , , , , , , , , , , ,1,6370.548,26563.672,47328.539,1
73,2,3,4,1,0,3,3,2,1,5,5,5, ,5,5,5,1,1,5,5,5,5,1,1,1,1,1,5,1,126.244,22943.467,45999.383,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1860.758,21017.248,43129.91, 
44,2,3,1,5,3,1,5,2,1,3,5,5,1,3,5,5,5,5,5,5,5,5, ,2,3,1,1,3,1,5915.869,29248.357,50327.875,2
48,1,3,1,5,2,3,5,2,1,2,1,1,1,2,5,4,5,1,1,5,5,5,3,1,1,1,1,4,1,4780.929,27966.549,48835.188,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4751.484,27923.906,48792.594, 
17,2,3,2,3,1,1,4,2,1,4,5,2,2,3,4,3,5,1,3,2,4,2,1,1,3,1,2,2,1,2295.921,16396.139,38072.91,1
34,2,3,1,3,1,3,5,2,1,4,5,5,2,2,5,5,5,2,3,4,5,2,2,5,5,1,1,2,1,424.999,22695.723,44389.984,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,402.838,22862.924,44840.949, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2857.602,19915.541,43329.496, 
88,2,3,4,1,0,2,4,2,1,5,4,1,1,4,4,1,3,3,4,2,4,2,2,1,1,1,1,2,1,178.867,22972.59,44069.281,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,845.621,23350.332,44135.824, 
48,1,3,1,3,0,3,4,2,1,5,5,5,5,5,5,5,5,5,5,4,5,5,3,2,3,4,4,5,1,759.196,21715.539,43006.012,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2692.495,20269.688,43222.074, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7289.85,14973.547,35118.527, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,633.967,22828.266,43607.375, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
91,2,3,4,1,0,1,1,2,1,2,5,5,1,5,5,3,1,1,1,2,3,4,1,1,3,1,1,5,1,680.455,22596.629,44756.313,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,826.511,21811.955,43285.348, 
84,1,3,1,2,0,1,1,2,1,3,5,2,1,4,4,4,5,4,3,4,4,3,2,2,3,1,2,2,1,883.504,21766.984,43273.336,2
