# Age,Gender,Race,Marriage,HouseholdSize,NumChd,Edu,Income,Owner,HouseStruct,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,CloseCoast,CloseWater,SeeStormCond,SeeShopClose,SeePeerEvac,OfficialHurricWatch,OfficialEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,County,DistRiver,DistLake,DistCoast,Evac,EvacDay,EvacHour
72.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,7754.563,14484.582,41059.02,1.0,nan,nan
41.0,1.0,3.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,8259.411,14354.077,41368.59,2.0,2.0,15.0
30.0,1.0,3.0,1.0,2.0,0.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1661.688,27104.725,49600.176,2.0,2.0,18.0
39.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,7409.646,14783.296,41234.691,1.0,nan,nan
27.0,1.0,3.0,1.0,2.0,0.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4170.642,18105.676,44185.414,2.0,2.0,9.0
50.0,2.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,4169.727,18106.861,44186.727,2.0,2.0,8.0
52.0,1.0,3.0,1.0,3.0,0.0,4.0,5.0,2.0,1.0,2.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,8077.185,15294.99,42630.719,2.0,2.0,7.0
45.0,1.0,5.0,1.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,7382.766,14827.767,41303.707,2.0,2.0,19.0
42.0,1.0,3.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,8263.983,16695.016,44422.352,1.0,nan,nan
50.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,1.0,6740.28,19172.506,46784.465,1.0,nan,nan
47.0,2.0,3.0,1.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,10938.195,18796.188,53181.414,1.0,nan,nan
47.0,1.0,3.0,1.0,4.0,0.0,2.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,13156.357,19785.355,52009.09,2.0,2.0,15.0
35.0,1.0,3.0,1.0,4.0,2.0,3.0,5.0,2.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,10046.511,15496.829,46573.777,2.0,nan,8.0
67.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,8517.118,15537.319,45171.277,1.0,nan,nan
55.0,1.0,3.0,1.0,2.0,0.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0,8359.326,14734.618,44996.727,1.0,nan,nan
55.0,1.0,3.0,2.0,2.0,0.0,5.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12781.847,27294.996,48666.586,2.0,1.0,14.0
75.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,12139.798,26257.684,47365.824,1.0,nan,nan
70.0,2.0,3.0,4.0,1.0,0.0,5.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5196.51,21953.361,42501.656,2.0,2.0,13.0
38.0,1.0,3.0,1.0,4.0,0.0,3.0,4.0,2.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,7801.106,18317.43,42905.395,2.0,2.0,23.0
56.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,1.0,12526.935,29064.648,49882.461,1.0,nan,nan
33.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,5.0,1.0,1.0,14730.145,29829.928,51788.418,2.0,1.0,16.0
36.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,11968.799,31684.154,52147.531,2.0,2.0,10.0
44.0,2.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,12111.138,27724.666,48581.27,2.0,2.0,12.0
47.0,2.0,3.0,1.0,2.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4449.696,15889.717,41074.609,1.0,nan,nan
56.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,10748.501,32830.84,53656.586,2.0,2.0,7.0
67.0,2.0,3.0,4.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,6094.191,17425.863,42694.539,2.0,2.0,7.0
75.0,1.0,3.0,1.0,2.0,0.0,2.0,5.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,15797.092,28581.133,51501.926,2.0,3.0,10.0
45.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,11864.861,21426.689,42546.066,2.0,1.0,22.0
52.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,1.0,2.0,4.0,1.0,6397.115,24511.346,45018.563,2.0,1.0,5.0
38.0,1.0,3.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,12527.147,29174.857,49964.105,1.0,nan,nan
22.0,2.0,3.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,10382.017,34118.637,59115.93,1.0,nan,nan
39.0,1.0,3.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,8253.266,31966.826,56408.832,2.0,2.0,7.0
51.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,1.0,6628.267,29397.939,52429.891,1.0,nan,nan
37.0,2.0,3.0,1.0,2.0,0.0,5.0,3.0,2.0,1.0,4.0,4.0,5.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,1531.899,3518.17,3518.17,2.0,2.0,nan
31.0,1.0,3.0,1.0,4.0,0.0,4.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,693.301,2272.281,2272.281,2.0,1.0,12.0
29.0,1.0,3.0,3.0,2.0,0.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,284.991,13456.589,40409.617,2.0,2.0,14.0
22.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,131.509,131.509,131.509,2.0,1.0,24.0
30.0,2.0,3.0,1.0,5.0,3.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,837.862,1096.269,1096.269,2.0,2.0,7.0
65.0,1.0,5.0,1.0,3.0,0.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,1524.896,3050.692,3050.692,2.0,1.0,5.0
44.0,1.0,3.0,1.0,4.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,557.455,557.455,557.455,2.0,1.0,6.0
