V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_1eQKO7yOzudzYN3,,Anonymous,,,98.199.48.111,0,2017-11-01 15:52:27,2017-11-01 16:02:43,0,134887,1,5,4,3,3,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,2,2,1,1,,1,,,,1,,34,2,1,4,5,4,1,2,2,1,77406,8,1,2,1,1,Fort Bend,1,1,1,1,1,,1,,4,2,2,,,2,2,2,1,AVPO9XPNTSBH0,,,,-1,2017-11-01 16:02:43,
FS_125eZkvgc6U6L1o,,Anonymous,,,173.187.78.79,0,2017-11-01 15:27:46,2017-11-01 15:33:23,0,909044,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,2,1,,,,,,,,,1,70,2,1,3,4,2,2,2,2,1,75862,10,1,2,1,1,Trinity,2,,,,,,,,,2,1,3,1,,,,1,A396U3HHP2ECZ1,,,,-1,2017-11-01 15:33:23,
FS_bCSdAacMXpd9Me5,,Anonymous,,,47.223.68.187,0,2017-11-01 15:26:39,2017-11-01 15:32:46,0,976652,1,5,2,5,5,5,5,1,3,3,2,1,1,5,2,,,,,,,2,2,,,,,,,,,1,33,1,1,3,4,4,2,2,2,2,78401,1,6,1,2,2,Nueces,1,1,,,,,,1,2,2,1,2,4,,,,1,A1NGE4B7JO6L60,,,,-1,2017-11-01 15:32:46,
FS_2b2XIkpuikKnV7C,,Anonymous,,,12.200.163.98,0,2017-11-01 15:18:40,2017-11-01 15:22:13,0,536759,1,5,3,5,3,5,3,1,5,5,5,3,5,5,1,5,5,4,3,4,4,2,2,1,1,,,1,,,1,,36,1,1,4,5,5,1,2,2,2,71129,10,1,2,1,1,Harris,1,2,1,1,1,1,,,1,1,1,1,1,,,,1,jns1999,,,,-1,2017-11-01 15:22:13,
FS_8kx8ya5OtFDmngR,,Anonymous,,,97.98.48.158,0,2017-11-01 14:50:55,2017-11-01 14:56:30,0,489767,1,2,1,2,3,1,1,1,3,1,2,2,1,1,1,4,1,3,3,2,3,3,1,,,1,1,1,,,,,25,1,1,4,3,2,2,2,1,1,78102,6,3,2,2,2,Bee,2,,,,,,,,,3,2,,,2,2,2,1,A2BIA6KZNHIOKQ,,,,-1,2017-11-01 14:56:30,
FS_8e7blG7vK9CNOZb,,Anonymous,,,98.200.10.234,0,2017-11-01 14:44:23,2017-11-01 14:46:34,0,965638,1,3,2,3,2,5,3,1,2,1,1,1,3,1,1,2,3,2,2,3,3,3,3,,,,,,,,,1,25,2,2,3,3,1,2,2,2,2,77042,2,3,1,2,2,harris,2,,,,,,,,,2,2,,,2,2,2,2,40628390,,,,-1,2017-11-01 14:46:34,
FS_1Izwjd3xPnkqlvS,,Anonymous,,,73.77.226.184,0,2017-11-01 10:33:03,2017-11-01 10:37:48,0,457153,1,3,3,4,4,4,4,1,5,5,5,5,5,5,1,4,4,2,3,3,4,2,1,1,,,1,1,,,,,27,2,1,3,4,3,1,2,2,1,77065,6,1,2,2,1,Harris,2,,,,,,,,,2,1,3,3,,,,1,A3D7UZ4WGGVFH6,,,,-1,2017-11-01 10:37:48,
FS_2v7IMpWgtfpogbc,,Anonymous,,,47.189.33.254,0,2017-10-31 17:04:48,2017-10-31 17:13:21,0,261115,1,2,3,4,3,2,3,1,2,1,1,1,2,2,1,4,3,2,2,3,3,2,2,,,,1,,,,,,23,2,1,4,2,3,2,2,1,1,77494,4,1,1,1,1,United States,1,2,1,,,1,,,2,2,1,2,2,,,,1,A2S8FJDTKMYS68,,,,-1,2017-10-31 17:13:21,
FS_2cnfN3GsblXnj7g,,Anonymous,,,45.20.237.190,0,2017-11-06 16:37:58,2017-11-06 16:42:44,0,416606,1,3,4,2,4,4,4,1,5,5,5,5,3,2,1,5,5,3,3,3,4,3,1,,1,,,1,,,,,38,2,1,3,2,6,1,1,2,1,77380,8,3,2,2,2,Montgomery,2,,,,,,,,,3,2,,,2,2,2,1,,,,,-1,2017-11-06 16:42:44,
FS_OIMbIJUii57wpLX,,Anonymous,,,99.186.126.211,0,2017-11-01 21:01:00,2017-11-01 21:08:35,0,136784,1,3,2,3,3,4,4,1,5,5,5,5,3,2,2,,,,,,,2,3,,,,,,,,,1,45,2,4,3,5,4,2,2,2,2,77040,8,1,2,2,1,Harris ,2,,,,,,,,,3,1,3,3,,,,1,AXAIIT5OR8AJ3,,,,-1,2017-11-01 21:08:35,
FS_1n0aC4fqdOglo6j,,Anonymous,,,47.222.190.24,0,2017-11-04 20:50:33,2017-11-04 20:51:04,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-04 20:51:04,
FS_2YQIuSAB99st39p,,Anonymous,,,209.126.69.45,0,2017-11-02 10:49:57,2017-11-02 10:51:19,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-02 10:51:19,
FS_1JVpcXnK0RXB0Oy,,Anonymous,,,38.114.210.43,0,2017-11-02 07:36:54,2017-11-02 07:37:10,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-02 07:37:10,
FS_2PtzvO4BeKsrvB0,,Anonymous,,,172.79.16.213,0,2017-11-01 14:12:17,2017-11-01 14:12:57,0,,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 14:12:57,
