Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,0,1.0,0.0,0.0,,1.0,0.0,4,2,3,5,1,1.0,0.0,5,5,4,5,5,5,5,1,2,5,3,3,5,5,3,5,5,5,5,46573.777,10046.511,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,1,3,1,1.0,0.0,3,4,5,3,1,5,5,1,5,4,2,5,5,4,5,5,1,5,5,45171.277,8517.118,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,4,5,1,1.0,0.0,5,2,3,2,3,5,2,1,3,4,2,2,3,4,5,4,3,1,2,44996.727,8359.326,
,0,1.0,0.0,0.0,,0.0,1.0,2,0,5,3,1,1.0,0.0,1,1,4,1,1,5,5,1,1,2,1,1,4,1,1,1,1,1,1,48666.586,12781.847,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,1,1,1,1.0,0.0,5,5,3,3,2,4,4,1,4,4,1,1,2,1,4,1,1,3,3,47365.824,12139.798,
,1,1.0,0.0,0.0,,0.0,0.0,1,0,5,1,1,0.0,1.0,5,4,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,5,5,42501.656,5196.51,
,0,1.0,0.0,0.0,,1.0,0.0,4,0,3,4,1,1.0,0.0,5,5,4,5,3,5,5,1,3,5,5,5,4,4,1,3,1,1,3,42905.395,7801.106,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,4,5,1,0.0,0.0,5,5,5,5,2,5,3,3,3,4,4,5,5,3,1,5,4,1,3,49882.461,12526.935,
,1,1.0,0.0,0.0,,0.0,1.0,5,2,3,2,1,0.0,1.0,5,5,5,5,4,5,5,1,3,5,3,4,5,3,1,5,1,5,1,51788.418,14730.145,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,4,3,1,0.0,1.0,4,4,4,5,5,5,2,1,3,4,3,4,4,2,2,3,1,3,2,52147.531,11968.799,
,1,1.0,0.0,0.0,,1.0,0.0,4,1,2,4,1,0.0,0.0,5,3,5,5,3,5,2,1,5,5,2,3,3,3,1,3,1,3,1,48581.27,12111.138,
