# Age,Gender,Race,Marriage,HouseholdSize,NumChd,Edu,Income,Owner,HouseStruct,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,CloseCoast,CloseWater,SeeStormCond,SeeShopClose,SeePeerEvac,OfficialHurricWatch,OfficialEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic
3.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,17.0
3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0
3.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,14.0
6.0,2.0,3.0,4.0,1.0,0.0,2.0,4.0,2.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,11.0
3.0,1.0,3.0,1.0,3.0,0.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,15.0
6.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,18.0
2.0,2.0,3.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0
3.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,12.0
2.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,22.0
1.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,2.0,2.0,12.0
