age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,risk_stay,risk_evac,wind_safety,wind_property,flood_safety,flood_property,evac_decision
40,0,3,4,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,1,1,1,1,5,5,0
47,1,2,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,2,3,1,4,5,5,0
45,1,2,3,5,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,5,4,4,4,4,5,5,0
25,1,2,1,3,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,2,4,4,2,3,2,0
31,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,3,1,4,4,4,4,1
66,1,4,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,5,5,5,5,5,5,0
31,0,2,3,3,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,5,5,5,4,5,4,1
27,1,2,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,3,3,3,4,4,4,4,1
27,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,1,1,2,1,2,0
27,0,3,4,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,3,3,4,2,2,2,4,0
57,1,3,3,7,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,2,5,5,5,5,5,5,0
22,1,2,2,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,4,4,4,5,4,5,5,1
45,1,2,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,4,3,2,3,3,4,4,1
28,1,1,0,7,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,2,5,3,5,5,5,5,1
33,1,1,2,6,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,4,2,2,4,4,4,4,0
38,0,2,3,4,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,2,2,2,2,3,3,0
42,1,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,5,2,3,2,2,0
28,1,2,3,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,3,3,3,3,3,3,0
31,1,3,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,5,2,4,2,2,2,1,0
28,1,4,4,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,5,1,5,2,5,2,0
29,0,1,1,6,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,4,3,4,3,3,2,2,0
32,0,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,5,4,1,1,5,5,0
31,0,3,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,3,2,3,2,4,4,0
28,0,4,3,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,4,3,3,4,5,5,5,0
23,1,3,2,5,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,2,2,3,1,2,3,5,0
42,1,3,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,4,4,3,4,5,4,5,0
22,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,5,3,3,1
46,0,4,4,4,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,4,3,2,2,2,3,3,0
25,0,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,3,4,4,5,5,5,0
50,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,4,1,1,5,1,3,1
37,1,3,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3,5,5,3,3,5,5,1
42,1,2,3,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,3,4,2,2,5,5,0
36,1,3,4,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,5,5,5,5,5,5,1
42,1,1,2,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,4,1,4,4,4,4,1
44,1,1,3,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,4,3,4,3,3,3,0
49,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,4,5,5,5,0
20,0,2,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5,2,3,1,1,3,3,0
30,0,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,4,2,4,5,4,4,0
27,1,3,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,5,1,2,3,3,1,1,0
38,0,2,4,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,2,3,3,3,3,3,3,0
23,1,4,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,4,4,4,4,4,4,0
29,0,4,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,4,2,4,3,3,4,4,0
22,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,5,5,4,4,1
71,1,2,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,4,4,4,4,5,5,0
27,0,4,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,5,4,2,2,4,4,4,0
37,1,1,4,4,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,3,2,5,3,3,4,3,0
44,1,3,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,4,3,4,2,3,4,4,0
28,1,2,3,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,3,3,5,5,4,5,0
35,1,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,3,3,3,3,3,3,0
34,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,2,1,2,2,1,1,0
23,1,3,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,5,5,3,4,2,2,0
25,0,3,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,4,3,4,4,4,4,1
35,1,3,2,3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,5,5,5,5,5,5,0
31,1,2,2,4,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,5,2,1,2,2,1,1,0
42,1,3,2,4,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,5,3,5,4,4,5,5,0
33,0,3,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,3,2,3,4,3,3,0
19,0,2,1,5,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,4,3,3,2,3,2,4,0
42,1,4,3,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,3,1,2,2,2,2,0
31,0,3,3,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,4,2,3,4,4,4,1
25,0,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,5,2,2,2,2,2,2,0
32,0,4,4,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,4,4,3,3,4,4,4,1
61,1,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,4,4,2,2,4,4,0
57,1,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1,1,1,1,1,1,0
67,1,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,2,3,1,1,2,3,0
25,1,2,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,3,4,4,4,5,5,1
32,1,4,3,2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,2,4,2,4,2,3,3,0
26,1,4,3,5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,5,4,4,5,5,5,5,0
45,1,4,4,4,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,3,2,3,3,3,4,4,0
22,1,1,1,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,5,1,1,1,1,1,1,0
39,0,3,3,5,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,4,5,3,4,4,3,0
25,1,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,1,2,2,0
56,0,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,4,4,4,4,4,4,0
55,1,1,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,1,1,1,1,1,1,0
59,1,3,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,5,4,5,5,5,5,0
31,1,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,5,4,3,2,3,2,0
34,1,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,4,1,3,3,3,4,0
33,0,3,4,6,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,4,3,2,3,3,4,1
42,1,3,3,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,5,3,3,4,3,4,3,1
42,0,4,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,5,5,2,4,4,3,2,0
29,1,3,1,4,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,2,4,5,3,3,3,3,1
32,0,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,5,5,5,5,5,5,0
36,1,3,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,4,2,2,5,4,1
26,0,3,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,4,5,5,3,5,3,1
23,1,2,3,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,5,3,2,3,3,5,5,0
31,0,3,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,4,5,4,2,5,4,0
32,0,1,2,6,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,2,3,4,4,4,4,4,1
31,1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,2,3,2,2,2,2,0
41,0,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,4,1,1,2,2,1,1,0
38,1,4,4,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,5,4,2,4,4,4,4,0
33,0,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,5,5,5,5,5,5,0
47,0,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,4,2,5,5,5,5,1
32,0,2,3,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,2,2,2,3,4,3,3,1
29,1,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,4,2,4,5,5,5,1
31,1,2,2,3,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,4,4,3,3,3,5,5,0
21,1,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,3,5,2,3,5,5,0
27,1,2,2,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,2,2,5,4,3,1
32,1,2,3,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,4,3,5,5,5,5,0
18,0,1,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,4,2,4,4,4,4,0
18,0,1,3,3,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,4,3,1,1,3,5,1
40,0,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,5,2,3,2,2,3,2,0
