age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,risk_stay,risk_evac,wind_safety,wind_property,flood_safety,flood_property,evac_decision
25,0,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,5,2,3,3,3,3,3,0
34,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,2,1,2,2,1,1,0
34,0,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,2,2,2,2,0
27,1,3,1,2,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,3,3,3,5,5,5,5,0
32,1,2,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,3,1,3,1,1,2,1,0
40,0,4,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4,4,4,3,3,5,5,0
31,0,2,3,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,5,5,3,5,5,5,5,0
67,1,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,1,3,1,1,2,3,0
25,1,2,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,5,2,5,5,5,5,1
35,1,3,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,3,3,3,4,3,4,0
57,1,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1,1,1,1,1,1,0
35,1,2,0,4,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,4,5,5,5,2,2,0
41,0,2,0,4,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,2,5,1,2,2,2,0
33,1,2,2,4,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,4,4,2,5,5,3,3,1
44,0,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2,4,4,4,4,4,1
31,0,2,2,3,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,4,3,2,3,3,4,5,0
52,1,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,1,2,2,1,1,0
39,1,3,3,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,2,2,4,2,4,3,5,0
41,0,2,2,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,4,3,5,5,5,5,1
35,0,4,4,4,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,5,5,5,5,5,5,1
24,0,2,2,4,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,5,3,1,3,3,3,3,0
28,1,2,3,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,5,4,3,5,5,5,5,0
37,0,2,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,5,3,2,4,2,4,3,0
32,1,4,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,5,4,4,4,3,4,4,0
54,0,3,2,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,5,2,2,2,2,2,2,0
25,1,3,3,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,5,3,4,1,1,4,4,0
27,1,1,2,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,1,1,1,1,1,1,0
28,1,3,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,4,3,4,4,5,1
33,0,4,4,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,2,4,5,4,4,5,5,0
38,1,2,0,3,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,5,5,4,5,5,5,4,0
46,0,2,2,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,5,4,4,4,4,4,0
41,1,4,4,4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,3,4,5,4,4,4,4,0
