age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,info_tv,info_tv_damage,info_tv_casualty,info_tv_road,info_tv_prep,info_tv_stay,info_tv_leave,info_social,info_social_damage,info_social_storm,info_social_prep,info_social_stay,info_social_leave,info_social_road,friends_suggest,neighbors_doing,received_evac_notice,no_evac_notice,received_mandatory,received_voluntary,received_stay_notice,no_stay_notice,evac_notice_before_landfall,evac_notice_after_landfall,evac_decision
23,0,1,4,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,1,4.0,2.0,4.0,3.0,3.0,4.0,1,4.0,3.0,2.0,2.0,4.0,4.0,1,1.0,0,1,0,0,0,1,0,0,0
43,1,3,4,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,5,1,2.0,1.0,1.0,2.0,2.0,1.0,1,3.0,4.0,3.0,4.0,2.0,3.0,1,1.0,0,1,0,0,1,0,0,0,0
49,1,3,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,0,1,0,0,1,0,0,0,1
55,1,1,4,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,4,1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,3,1.0,0,1,0,0,1,0,0,0,0
33,1,3,2,5,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,3,1,4.0,3.0,5.0,3.0,3.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,0.0,0,1,0,0,0,1,0,0,1
33,0,3,4,6,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,5,1,4.0,3.0,2.0,4.0,2.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,1,0,0,0,1
30,1,3,2,3,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1.0,1.0,1.0,3.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0,1,0,0,0,0,0,0,0
29,1,4,2,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1,3.0,2.0,5.0,4.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0,1,0,0,0,1,0
25,1,2,1,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,1,2.0,1.0,4.0,5.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,0,1,0,0,0
29,1,2,1,5,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,3.0,2.0,3.0,4.0,3.0,1,2.0,0,1,0,0,0,1,0,0,1
24,1,3,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,3,1,5.0,5.0,5.0,5.0,5.0,5.0,1,4.0,4.0,4.0,4.0,4.0,4.0,1,1.0,0,1,0,0,1,0,0,0,0
25,1,2,2,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,4,1,2.0,2.0,4.0,4.0,4.0,2.0,1,2.0,2.0,4.0,4.0,3.0,4.0,1,1.0,0,1,0,0,1,0,0,0,0
44,1,1,3,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,1,3.0,1.0,3.0,4.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,1,0,0,0,0
33,1,2,3,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,1,4.0,2.0,4.0,4.0,3.0,3.0,1,2.0,3.0,2.0,2.0,2.0,3.0,1,1.0,0,1,0,0,1,0,0,0,0
39,0,1,1,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2.0,1,0,0,1,0,1,1,0,0
36,0,2,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,5,1,4.0,1.0,5.0,4.0,2.0,5.0,1,5.0,5.0,4.0,4.0,4.0,5.0,2,2.0,1,0,0,1,0,0,0,1,1
38,1,2,3,3,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,5,1,5.0,2.0,4.0,2.0,2.0,5.0,1,5.0,3.0,1.0,4.0,5.0,3.0,2,2.0,0,1,0,0,0,0,0,0,0
32,1,3,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1.0,1.0,1.0,2.0,5.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,0,0,0,0,1
26,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4.0,2.0,2.0,4.0,3.0,3.0,1,3.0,2.0,4.0,3.0,3.0,5.0,1,2.0,1,0,0,1,0,1,1,0,0
27,0,4,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,5,1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,3.0,4.0,4.0,2,2.0,0,1,0,0,0,0,0,0,0
31,0,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,3.0,2.0,3.0,5.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1,0,1,0,0,1,1,0,0
34,0,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,3.0,3.0,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0,1,0,0,1,0,0
38,1,4,3,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,5,1,4.0,3.0,4.0,3.0,4.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,1,0,0,0,0
39,1,2,0,5,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,4.0,2.0,5.0,5.0,1.0,5.0,1,1.0,1.0,5.0,5.0,5.0,5.0,2,1.0,0,1,0,0,0,1,0,0,1
46,0,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,1,5.0,3.0,4.0,4.0,2.0,3.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0,1,0,0,0,0,0,0,0
22,0,2,2,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,1,4.0,3.0,5.0,4.0,4.0,2.0,1,5.0,5.0,5.0,5.0,2.0,5.0,2,1.0,0,1,0,0,1,0,0,0,0
23,0,3,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,3.0,2.0,5.0,5.0,4.0,5.0,1,4.0,5.0,5.0,4.0,5.0,5.0,1,1.0,0,1,0,0,0,1,0,0,0
34,1,4,3,3,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,2.0,1.0,4.0,2.0,3.0,4.0,1,1.0,4.0,2.0,3.0,4.0,4.0,2,2.0,1,0,1,0,0,1,1,0,1
25,0,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,5,1,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,0,1,0,0,0,0,0,0,0
34,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,1,4.0,2.0,1.0,4.0,4.0,3.0,1,2.0,2.0,2.0,2.0,2.0,1.0,1,1.0,0,1,0,0,0,1,0,0,0
34,0,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,2.0,3.0,5.0,2.0,2,2.0,1,0,0,0,0,0,1,0,0
27,1,3,1,2,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,3,1,3.0,3.0,4.0,3.0,2.0,3.0,1,4.0,5.0,2.0,2.0,3.0,3.0,3,1.0,0,0,0,0,0,1,0,0,0
32,1,2,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,3,1,4.0,2.0,5.0,5.0,2.0,2.0,1,4.0,4.0,5.0,2.0,2.0,4.0,1,1.0,0,1,0,0,0,0,0,0,0
40,0,4,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4,1,3.0,3.0,3.0,5.0,4.0,4.0,1,5.0,5.0,5.0,4.0,5.0,5.0,1,1.0,0,1,0,0,1,0,0,0,0
31,0,2,3,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,5,1,5.0,5.0,5.0,5.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,1,0,0,0,1,0,0,0
67,1,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,1,4.0,3.0,3.0,3.0,2.0,3.0,1,3.0,3.0,2.0,2.0,3.0,4.0,1,1.0,0,1,0,0,0,1,0,0,0
25,1,2,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,1,4.0,4.0,4.0,4.0,3.0,4.0,1,3.0,2.0,2.0,2.0,3.0,4.0,2,2.0,1,0,0,1,0,1,0,1,1
35,1,3,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,1,4.0,2.0,4.0,4.0,4.0,4.0,1,2.0,4.0,4.0,4.0,4.0,3.0,1,1.0,0,1,0,0,0,0,0,0,0
57,1,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1,2.0,3.0,3.0,3.0,3.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0,1,0,0,1,0,0,0,0
