preIrma_zipcode,current_zipcode,county,age,is_male,edu,income,househd_size,is_white,is_black,is_asian,is_hispanic,has_children,has_elders,has_special_needs,has_pets,house_single_fam,house_condo,house_mobile,house_wood,house_brick,is_owner,has_insurance,coast_dist,use_tv_radio,tv_radio_storm_damage,tv_radio_casualty,tv_radio_road_traffic,tv_radio_preparation,tv_radio_people_stay,tv_radio_people_leave,use_social_media,social_media_storm_damage,social_media_storm_strength,social_media_preparation,social_media_people_stay,social_media_people_leave,social_media_road_traffic,friends_suggest_stay,friends_suggest_evac,neighbors_stay,neighbors_evac,harvey_influence,has_prev_exp,prev_decision_evac,prev_decision_stay,prev_decision_regret,prev_decision_no_regret,received_evac_notice,no_evac_notice,received_mandatory,received_voluntary,received_stay_notice,no_stay_notice,risk_of_stay,risk_of_evac,wind_risk_to_safety,wind_risk_to_property,flood_risk_to_safety,flood_risk_to_property,evac_difficulty_special_needs,evac_difficulty_expense,evac_difficulty_elders,evac_difficulty_no_place,evac_difficulty_job_obligation,evac_difficulty_pets,evac_difficulty_children,evac_difficulty_no_transport,evac_decision
33024,33606,Broward,21,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,5.0,3.0,5.0,5.0,3.0,5.0,1,5.0,5.0,4.0,3.0,5.0,4.0,0,1,0,1,1.0,1,1,0,0,1,1,0,1,0,0,1,5,4,4,4,5,5,0,1,0,1,0,1,0,0,0
33190,33190,miami dade,42,0,3,3,5,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,4.0,4.0,2.0,5.0,3.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,3.0,1,0,1,1,0,1,0,1,0,0,0,5,3,3,3,5,5,0,1,0,0,0,1,1,0,1
32168,32168,volusia,62,0,4,4,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1,5.0,5.0,5.0,3.0,4.0,4.0,0,1,0,0,2.0,1,1,0,1,0,0,1,0,0,0,1,3,1,4,2,2,2,0,1,0,0,0,1,0,0,1
32256,23455,Duval,27,1,2,3,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,5.0,5.0,5.0,5.0,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,4.0,2,0,0,0,0,0,0,0,0,1,0,5,1,5,5,5,5,0,0,0,0,0,0,0,0,1
33172,33172,Miami dade,36,1,3,3,4,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,3,1,4.0,2.0,2.0,4.0,3.0,4.0,1,5.0,5.0,5.0,3.0,5.0,5.0,0,1,0,1,2.0,1,1,0,0,1,1,0,0,1,0,0,4,2,4,5,5,5,1,1,1,0,0,0,1,0,1
33615,33615,Hillsborough,20,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5.0,4.0,4.0,4.0,3.0,4.0,1,5.0,5.0,4.0,3.0,4.0,4.0,0,1,1,0,1.0,1,0,1,0,1,1,0,0,1,0,1,5,3,5,5,5,5,0,1,0,0,0,0,0,0,1
34436,34436,Citrus,51,1,2,3,2,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,2,1,5.0,3.0,5.0,5.0,4.0,5.0,1,2.0,2.0,2.0,2.0,4.0,3.0,0,1,1,0,1.0,1,0,1,0,1,1,0,0,1,0,1,5,3,5,5,5,5,0,1,0,0,1,1,0,0,0
33442,33442,Palm Beach,21,0,2,1,4,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,4.0,4.0,5.0,5.0,5.0,4.0,1,4.0,4.0,4.0,5.0,4.0,4.0,1,0,0,1,-4.0,1,0,1,0,1,0,1,0,0,0,1,5,5,5,5,5,5,1,1,0,1,0,1,0,1,0
33147,33147,Miami Dade,27,1,2,3,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,2,1,5.0,2.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,-3.0,1,0,1,0,1,0,1,0,0,0,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0
33327,33327,broward,25,1,3,0,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,2,1,3.0,2.0,4.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,3.0,1,0,1,0,1,0,1,0,0,0,1,4,3,5,5,5,5,1,0,1,1,0,0,0,0,0
33760,33760,Pinellas,55,0,3,4,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,3.0,2.0,3.0,4.0,3.0,4.0,1,2.0,2.0,4.0,4.0,4.0,4.0,0,1,0,1,1.0,1,0,1,0,1,1,0,1,0,0,1,4,4,4,4,4,4,0,0,0,0,0,1,0,0,1
33610,33610,HILLSBOROUGH,22,0,2,2,3,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,1,3.0,2.0,3.0,3.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,2.0,1,1,0,0,1,0,0,0,0,0,0,3,5,5,3,2,3,0,1,1,1,1,1,0,0,0
33707,33707,Pinellas,60,1,3,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,4.0,4.0,4.0,4.0,3.0,5.0,1,3.0,3.0,4.0,3.0,5.0,5.0,0,1,0,1,3.0,1,0,1,1,0,1,0,1,0,0,1,4,1,4,4,3,3,0,1,0,0,0,1,0,0,1
32714,32714,SEMINOLE,35,1,3,3,4,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,3,1,4.0,2.0,5.0,5.0,4.0,3.0,1,4.0,5.0,5.0,3.0,3.0,4.0,1,0,1,0,2.0,1,1,0,0,1,1,0,0,1,0,1,2,1,3,3,2,3,0,1,0,0,1,0,1,0,0
33756,33756,Pinellas,61,1,2,2,3,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,4.0,4.0,5.0,4.0,3.0,3.0,1,3.0,3.0,2.0,2.0,3.0,3.0,0,0,1,0,-1.0,1,0,1,0,1,0,1,0,0,0,1,3,3,4,4,2,2,1,1,0,1,0,1,0,0,0
33308,33308,broward,30,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,3.0,2.0,2.0,3.0,3.0,0,1,0,0,0.0,2,0,0,0,0,1,0,0,1,1,0,5,2,2,2,2,4,1,0,0,0,0,0,0,0,0
32835,32835,orange,24,0,3,1,5,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,3,1,5.0,3.0,5.0,5.0,4.0,5.0,1,5.0,5.0,5.0,4.0,3.0,5.0,1,0,1,0,0.0,1,0,1,0,1,0,1,0,0,0,0,2,2,3,3,3,3,0,1,0,1,0,0,1,0,0
34228,34228,Manatee,59,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,5.0,3.0,4.0,4.0,2.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1.0,1,0,1,1,0,1,0,1,0,0,1,5,1,4,4,5,5,0,1,0,0,0,1,0,0,1
