lon,lat,county,current_zipcode,preIrma_zipcode,coast_dist
-82.47969818,28.25799561,Pasco,33556,33626,10 to 30 miles
-81.48349762,28.52250671,Orange,32810,32810,More than 70 miles
-87.36009979,30.5019989,dade,32533,32533,1 to 10 mile
-80.65280151,28.14900208,Palm Beach,32940,33446,50 to 70 miles
-81.62999725,28.76199341,Lake,32726,32726,30 to 50 miles
,,Duval,32210,32210,More than 70 miles
-73.99749756,40.73080444,Miami,33111,33111,10 to 30 miles
,,Escambia,32514,32514,1 to 10 mile
-81.43360138,28.61849976,Alachua,32609,32609,More than 70 miles
,,Escambia,32506,32506,More than 70 miles
-82.32009888,28.2059021,pasco,33558,33558,30 to 50 miles
-82.23639679,27.93789673,Hillsborough,33596,22153,30 to 50 miles
,,palm beach,33431,33431,10 to 30 miles
,,EScambia,32514,32516,10 to 30 miles
-81.19909668,28.67660522,Seminole,32765,32765,30 to 50 miles
-81.86299896,30.08309937,clay,32068,32068,10 to 30 miles
-81.19480133,29.30050659,Volusia,32759,32141,1 to 10 mile
-80.35939789,25.73410034,Miami Dade,33193,33193,10 to 30 miles
-81.86530304,29.24609375,Orange,32712,32712,50 to 70 miles
-86.62979889,30.42179871,okaloosa,32547,32547,10 to 30 miles
-84.33209991,30.52520752,Leon,32303,32303,10 to 30 miles
-82.73880005,28.23970032,PASCO,34653,34653,1 to 10 mile
-81.22149658,26.23039246,Collier,34142,34142,10 to 30 miles
-81.58509827,30.27929688,Duval,32207,32207,30 to 50 miles
-82.58350372,27.48280334,Manatee,34209,34209,Within 1 mile
-82.32649994,27.86610413,Hillsborough,33579,33578,1 to 10 mile
-81.42639923,30.28779602,Duval,32250,32250,1 to 10 mile
-82.57749939,27.43730164,Manatee,34210,34210,10 to 30 miles
-81.02480316,29.13479614,Volusia,32127,32127,Within 1 mile
-81.3792038,28.53829956,Hernando,34606,34606,1 to 10 mile
-81.44100189,28.58009338,Orange,32808,32810,30 to 50 miles
-81.51820374,30.17959595,duval,32246,32266,1 to 10 mile
-85.3082962,36.38679504,Monroe,33070,33070,Within 1 mile
-81.00749969,29.16220093,Volusia,32129,32129,1 to 10 mile
-82.38549805,29.67660522,Alachua,32643,32643,More than 70 miles
-81.58509827,30.27929688,duval,32256,32256,10 to 30 miles
