index,no_01,no_02,no_03,no_other,no_other_code
458,6,,,,
460,16,,,,
462,18,12,21,,
463,7,,,,
464,17,,,,
465,4,,,,
466,19,,,,
467,1,,,,
470,6,28,,,
472,11,,,,
474,18,,,,
476,6,,,,
478,17,,,,
479,6,,,,
480,6,,,,
483,6,,,,
485,6,,,,
486,27,,,,
488,6,7,,,
489,1,,,,
490,6,,,,
492,1,,,,
493,1,,,,
494,13,,,,
495,24,,,,
497,11,19,,,
498,2,,,,
499,6,,,,
500,14,,,,
501,29,,,,
503,6,,,,
504,15,,,,
505,1,,,,
508,1,,,,
509,16,,,,
511,6,,,,
513,1,,,,
515,6,,,,
516,1,,,,
517,6,,,,
518,5,,,,
520,8,1,,,
522,6,14,,,
523,21,,,,
524,4,,,,
528,12,,,,
529,6,,,,
532,18,,,,
533,4,,,,
535,6,5,,,
537,6,,,,
538,5,,,,
539,6,,,,
540,6,,,,
541,15,24,,,
542,6,,,,
543,22,,,,
544,6,14,,,
546,21,6,,,
547,27,,,,
548,16,,,,
549,21,,,,
551,6,,,,
552,1,,,,
553,6,,,,
554,30,,,,
555,6,,,,
556,24,,,,
557,1,,,,
558,30,,,,
559,12,,,,
561,4,,,,
563,18,,,,
564,23,,,,
565,1,,,,
566,16,,,,
567,6,,,,
570,24,27,,,
573,6,,,,
575,18,,,,
576,25,,,,
577,6,,,,
578,1,,,,
579,16,,,,
582,4,,,,
583,6,,,,
584,18,,,,
585,12,,,,
586,18,,,,
588,6,13,,,
589,6,,,,
591,16,,,,
592,13,,,,
593,19,,,,
594,1,,,,
595,30,,,,
596,6,,,,
603,6,,,,
604,22,,,,
605,7,,,,
607,6,,,,
608,29,,,CANT HIDE FROM GOD,31
610,6,,,,
611,6,,,,
613,13,,,,
614,6,7,,,
615,29,,,"WE HAVE A LOT, WE'VE NEVER LEFT","16,33"
617,14,5,6,,
619,30,,,,
620,1,,,,
621,6,,,,
622,4,,,,
624,30,,,,
627,12,,,,
629,6,,,,
630,30,,,,
633,14,,,,
635,1,,,,
636,14,,,,
638,5,4,,,
639,6,,,,
640,1,,,,
641,6,,,,
642,6,,,,
