age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,heard_order,od_voluntary,od_mandatory,know_evac_zone,ez_in_zone,ez_not_in_zone,src_local_radio,src_local_tv,src_cable_cnn,src_cable_weather_channel,src_cable_other,src_internet,importance_nhc,importance_local_media,trust_local_media,seek_local_weather_office,see_track_map,concern_wind,concern_fld_surge,concern_fld_rainfall,concern_tornado,sf_cat4_water,sf_cat4_wind_water,sf_cat3_water,sf_cat3_wind_water,sf_cat2_water,sf_cat2_wind_water,evac
62.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,1.33727045426,14.1,1,0,0.0,0,0,1,0,1,0,3,0,3,0,2,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
44.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,2.23265529546,23.4,1,0,1.0,1,0,1,0,1,3,3,1,3,1,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1
48.0,0,1,0,0,0,0,3.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,12.844711351,90.4,0,0,0.0,0,0,1,1,0,3,3,0,3,3,3,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
45.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.83978271224,9.9,1,0,0.0,0,0,0,0,0,0,3,1,0,0,3,2.0,2.0,1.0,1.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
72.0,0,1,0,0,0,0,5.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,4.13195767574,46.7,1,0,1.0,1,0,1,0,1,1,2,1,2,0,2,2.0,2.0,1.0,0.0,1.0,2.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
51.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,3.3529568719,85.6,1,0,0.0,0,0,1,0,1,1,3,0,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1
60.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,8.72362351965,72.9,0,0,0.0,0,0,1,0,1,2,2,2,2,2,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
47.0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,2.23265529546,23.4,1,0,0.0,0,0,1,1,0,1,0,0,0,0,3,2.0,0.0,0.0,1.0,1.0,1.0,0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0
58.0,1,0,0,0,0,0,3.0,0.0,0.0,1.0,1,0,1,0,0,1,0,0,1.83978271224,9.9,1,0,0.0,0,0,1,0,1,3,3,3,3,0,3,1.0,1.0,1.0,0.0,1.0,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
72.0,1,1,0,0,0,0,2.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,1.51103382265,6.2,1,0,1.0,0,1,1,1,0,2,3,0,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1
25.0,0,1,0,0,0,0,2.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1.81600143607,23.5,1,0,0.0,0,0,1,1,0,3,3,0,0,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1
51.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,14.1659611662,99.2,0,0,0.0,0,0,1,0,1,1,2,2,3,1,1,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
47.0,1,1,0,0,0,0,6.0,1.0,0.0,1.0,1,0,1,1,0,0,0,1,1.79373645765,41.7,0,0,0.0,0,0,1,1,0,3,3,2,3,0,1,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1
60.0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,2.23265529546,23.4,1,0,0.0,0,0,1,1,0,3,3,3,3,3,0,2.0,2.0,1.0,0.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,12.844711351,90.4,0,0,0.0,0,0,1,0,1,2,3,2,1,3,0,2.0,2.0,0.0,0.0,1.0,1.0,1,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0
46.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,3.16945733451,17.4,1,0,1.0,1,0,1,1,0,0,3,2,3,3,2,2.0,2.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
54.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,2.9705226778,14.5,1,0,1.0,1,0,1,1,0,0,3,1,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1
68.0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,8.72362351965,72.9,0,0,0.0,0,0,1,0,1,0,3,0,0,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1
63.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1,1.79373645765,41.7,0,0,0.0,0,0,0,0,0,2,3,2,3,0,3,2.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
63.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,4.13195767574,46.7,1,0,0.0,0,0,1,1,0,3,3,0,2,3,0,2.0,2.0,1.0,0.0,1.0,2.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1
52.0,1,1,0,0,0,0,2.0,0.0,1.0,0.0,0,1,1,1,0,0,1,0,2.71279763697,20.2,1,0,1.0,0,1,1,1,0,3,2,3,3,0,0,2.0,1.0,0.0,1.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,4.4577712924,2.2,1,0,1.0,1,0,1,0,1,3,1,0,0,0,0,2.0,1.0,1.0,0.0,1.0,2.0,0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1
63.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.79373645765,41.7,0,0,1.0,1,0,1,1,0,3,3,0,3,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1
36.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,1,0,0,1,0,0,0,1,1.79373645765,41.7,0,0,1.0,0,1,1,1,0,1,1,1,1,1,3,2.0,0.0,1.0,1.0,1.0,2.0,1,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1
55.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,12.844711351,90.4,0,0,0.0,0,0,0,0,0,0,1,3,3,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
58.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,1,0,0,1,0,1.83978271224,9.9,1,0,1.0,0,0,1,0,1,3,3,0,2,0,0,2.0,1.0,1.0,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0
31.0,0,1,0,0,0,0,15.0,1.0,0.0,1.0,0,1,1,1,0,0,0,1,2.71279763697,20.2,1,0,0.0,0,0,1,0,1,0,3,0,0,0,0,2.0,2.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
