zip, lat, log, elevation
70049, 30.030544, -90.571302, 6.9	
70051, 30.086150, -90.647603, 1.2	
70053, 29.913421, -90.053201, 1.0	
70056, 29.887380, -90.027313, 0.0		
70057, 29.962198, -90.464199, 1.2	
70058, 29.868864, -90.064875, 0.0		
70062, 29.991693, -90.258179, 0.0		
70065, 30.027292, -90.253450, 0.0	
70068, 30.156099, -90.436898, 0.2	
70070, 29.829842, -90.310627, 1.3	
70072, 29.835653, -90.110302, 4.2	
70075, 29.933532, -89.921950, 0.0	
70079, 30.003414, -90.410210, 5.9	
70080, 29.883998, -90.433699, 0.7	
70083, 29.463084, -89.894753, 0.0		
70084, 30.075645, -90.567481, 3.8	
70085, 29.836707, -89.737441, 0.0	
70087, 29.976027, -90.315015, 2.3	
70092, 29.898940, -89.895262, 2.8	
70094, 29.915778, -90.207605, 4.9	
70112, 29.957008, -90.076935, 0.0		
70113, 29.943018, -90.083073, 1.7	
70114, 29.937445, -90.032322, 0.4	
70115, 29.923930, -90.102484, 5.4	
70116, 29.967440, -90.064783, 3.8	
70117, 29.968157, -90.029962, 1.1	
70118, 29.944727, -90.125661, 2.9	
70119, 29.975137, -90.086944, 1.1	
70121, 29.959763, -90.163314, 11.7	
70122, 30.013437, -90.062798, 0.0		
70123, 29.949939, -90.205559, 3.2	
70124, 30.007379, -90.103919, 0.0		
70125, 29.952072, -90.103310, 0.0		
70126, 30.018200, -90.020724, 0.0		
70127, 30.023650, -89.977867, 0.0		
70128, 30.050846, -89.956039, 0.0	
70129, 30.080851, -89.813366, 0.9	
70130, 29.937353, -90.069648, 8.1	
70131, 29.906318, -89.958342, -5.4	
70420, 30.484687, -89.953028, 40.8	
70431, 30.616752, -89.967363, 113.1	
70433, 30.458752, -90.156313, 20.3	
70435, 30.556992, -90.106639, 101.2	
70437, 30.619596, -90.209238, 141.8	
70445, 30.375351, -89.910291, 25.8	
70447, 30.422623, -90.205827, 9.1	
70448, 30.362180, -90.039451, 16.8	
70458, 30.261870, -89.794189, 3.6	
70460, 30.297957, -89.840688, 14.6	
70461, 30.231091, -89.716936, 1.5	
70471, 30.407038, -90.063421, 21.0	
