age,male,r_white,r_black,r_hispanic,r_asian,r_native,househd_size,have_child,have_elder,income_above_4k,college_edu,owner,pets,ht_single_fam,ht_mobile,ht_condo,hm_wood,hm_brick_cement,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
70.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,23.8593795428,232.3,0,0,0
54.0,0,1,0,0,0,0,3.0,0.0,1.0,1.0,1,1,0,1,0,0,0,1,1.60805204199,64.4,1,0,0
62.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,1,0,0.923735829039,18.9,0,0,1
47.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,1.67621560814,38.5,1,0,0
61.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.15758568431,87.3,1,0,0
54.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,4.88240194821,0.0,0,0,0
37.0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,1.61298739721,30.9,1,0,0
68.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,6.34938837866,88.1,1,0,0
60.0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0,1,1,1,0,0,0,0,4.88240194821,0.0,0,0,0
54.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,1.53953288829,26.7,0,0,1
57.0,0,1,0,0,0,0,6.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,12.7586727085,21.8,0,0,0
42.0,1,1,0,0,0,0,2.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0
31.0,0,1,0,0,0,0,2.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,20.569203971,211.1,0,0,1
51.0,1,1,0,0,0,0,5.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,0.827932450894,3.6,0,0,1
41.0,0,0,0,1,0,0,5.0,1.0,0.0,1.0,0,1,0,1,0,0,0,0,1.91024256361,0.0,0,0,1
52.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,0.473529451921,0.0,1,0,0
71.0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,14.1022955757,115.9,0,0,0
67.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,3.67286224885,58.5,1,0,0
65.0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,20.569203971,211.1,0,0,1
55.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0.923735829039,18.9,0,0,1
73.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,6.41765787353,96.8,0,0,0
43.0,1,0,1,0,0,0,6.0,1.0,0.0,1.0,1,1,1,1,0,0,0,1,1.86591274655,21.7,1,0,0
42.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,0,1,0,0,0,1,3.15758568431,87.3,1,0,0
67.0,1,1,0,0,0,0,2.0,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0.728852638111,36.3,1,0,0
68.0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1,1,0,0,0,1,0,0,3.67286224885,58.5,1,0,0
42.0,1,1,0,0,0,0,3.0,0.0,0.0,1.0,0,1,1,1,0,0,1,0,3.41658813867,53.2,1,0,0
71.0,0,1,0,0,0,0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,3.41658813867,53.2,1,0,0
65.0,1,1,0,0,0,0,2.0,0.0,0.0,0.0,0,1,1,1,0,0,1,0,24.3022342819,290.3,0,0,0
44.0,1,1,0,0,0,0,4.0,1.0,0.0,0.0,0,1,1,0,1,0,0,0,1.00987323199,9.5,0,0,1
62.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,1,1,0,0,1,0,14.1022955757,115.9,0,0,0
45.0,1,1,0,0,0,0,3.0,1.0,0.0,1.0,1,1,1,0,0,0,0,0,20.569203971,211.1,0,0,0
40.0,1,1,0,0,0,0,4.0,1.0,0.0,1.0,1,0,0,1,0,0,1,0,0.284234070297,0.0,1,0,1
60.0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,2.56803515393,49.7,1,0,0
