male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
1,1,0,0,0,0,0.0,1.0,1,0,0,0,0.827932450894,3.6,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,2.56803515393,49.7,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,0.904074593135,11.2,1,0,0
0,0,1,0,0,0,1.0,0.0,0,1,0,0,48.0573427165,81.5,0,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,23.8593795428,232.3,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.60805204199,64.4,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.923735829039,18.9,0,0,1
0,1,0,0,0,0,0.0,0.0,1,1,0,0,1.67621560814,38.5,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.15758568431,87.3,1,0,0
0,1,0,0,0,0,0.0,0.0,1,1,0,0,4.88240194821,0.0,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.61298739721,30.9,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,6.34938837866,88.1,1,0,0
1,0,0,1,0,0,0.0,1.0,0,1,0,0,4.88240194821,0.0,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.53953288829,26.7,0,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,12.7586727085,21.8,0,0,0
1,1,0,0,0,0,1.0,0.0,0,1,0,0,3.41658813867,53.2,1,0,0
0,1,0,0,0,0,1.0,0.0,0,0,1,0,20.569203971,211.1,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,0.827932450894,3.6,0,0,1
0,0,0,1,0,0,1.0,1.0,0,1,0,0,1.91024256361,0.0,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.473529451921,0.0,1,0,0
0,1,0,0,0,0,0.0,0.0,1,1,0,0,14.1022955757,115.9,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.67286224885,58.5,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,20.569203971,211.1,0,0,1
1,1,0,0,0,0,0.0,0.0,0,0,1,0,0.923735829039,18.9,0,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,6.41765787353,96.8,0,0,0
1,0,1,0,0,0,1.0,1.0,1,1,0,0,1.86591274655,21.7,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.15758568431,87.3,1,0,0
1,1,0,0,0,0,0.0,1.0,1,0,0,1,0.728852638111,36.3,1,0,0
1,1,0,0,0,0,0.0,1.0,1,0,0,1,3.67286224885,58.5,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.41658813867,53.2,1,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.41658813867,53.2,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,24.3022342819,290.3,0,0,0
1,1,0,0,0,0,1.0,0.0,0,0,1,0,1.00987323199,9.5,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,14.1022955757,115.9,0,0,0
1,1,0,0,0,0,1.0,1.0,1,0,0,0,20.569203971,211.1,0,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,0.284234070297,0.0,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,2.56803515393,49.7,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,6.41765787353,96.8,0,0,0
0,1,0,0,0,0,1.0,0.0,1,1,0,0,1.91024256361,0.0,0,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,30.9561247065,91.9,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,0.52534680485,11.5,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,0.473529451921,0.0,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,2.56803515393,49.7,1,0,1
0,1,0,0,0,0,1.0,0.0,0,0,1,0,23.8593795428,232.3,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,4.19583371076,12.6,0,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,14.1022955757,115.9,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,1.00987323199,9.5,0,0,0
1,1,0,0,0,0,1.0,0.0,1,1,0,0,0.322380689167,21.3,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,23.8593795428,232.3,0,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,12.7586727085,21.8,0,0,0
1,0,0,1,0,0,0.0,1.0,0,1,0,0,0.52534680485,11.5,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,0.728852638111,36.3,1,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,0.52534680485,11.5,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,41.236272523,140.3,0,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,32.0277527397,84.2,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,1,0,15.3961471011,180.2,1,0,0
0,0,0,0,0,1,1.0,1.0,0,1,0,0,1.67621560814,38.5,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,35.6183845476,91.3,0,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,16.8502595827,109.0,0,0,0
0,1,0,0,0,0,0.0,1.0,0,0,1,0,35.6183845476,91.3,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,4.88240194821,0.0,0,0,1
